Winter;Oct;Nov;Dec;Jan;Fev;Mar;Maximum
1979-80;0;1;0;1;0;0;1
1980-81;0;0;0;0;0;0;0
1981-82;0;0;0;0;0;0;0
1982-83;0;0;0;0;0;0;0
1983-84;0;1;0;0;0;0;1
1984-85;0;0;0;0;0;0;0
1985-86;1;0;0;0;0;1;1
1986-87;0;0;0;1;0;0;1
1987-88;0;1;0;1;0;0;1
1988-89;0;2;1;2;1;0;2
1989-90;3;1;0;1;1;1;3
1990-91;0;1;2;1;1;1;2
1991-92;1;2;2;1;2;2;2
1992-93;1;2;1;1;1;1;2
1993-94;0;4;2;4;1;1;4
1994-95;6;6;6;7;4;3;7
1995-96;3;4;5;5;2;3;5
1996-97;1;3;3;2;1;2;3
1997-98;2;2;2;1;1;1;2
1998-99;2;4;3;1;1;2;4
1999-00;0;0;1;0;0;0;1
2000-01;0;1;0;0;2;0;2
2001-02;1;1;0;1;0;0;1
2002-03;1;0;1;0;2;2;2
2003-04;2;1;2;2;2;2;2
2004-05;3;3;4;5;4;4;5
2005-06;2;2;1;1;2;0;2
2006-07;5;0;1;1;2;2;5
2007-08;2;1;2;4;4;3;4
2008-09;2;3;2;2;8;2;8
2009-10;4;5;2;1;3;6;6
2010-11;3;3;6;6;4;5;6
2011-12;5;6;5;8;3;1;8
2012-13;6;7;6;5;2;3;7
2013-14;5;3;2;3;3;1;5
2014-15;13;10;4;4;1;2;13
2015-16;2;2;1;2;5;NA;5
2016-17;0;1;2;3;0;2;3
2017-18;2;1;1;1;0;2;2
2018-19;0;1;0;0;0;1;1
