Gebied;Jaar;Maand;MaxPerGebied
Antwerpen-L.O. - Blokkersdijk (BD) (AN);2018;4;1
Bruxelles/Brussel - Canal de Bruxelles/Brussels kanaal (BR);2019;6;1
Damme - Zuiddijk (ZDDM) (WV);2018;6;1
Damme - Zuiddijk (ZDDM) (WV);2018;7;1
Ertvelde zuid - Spaarbekken Kluizen (2150A) (Ontoegankelijk) (OV);2019;7;1
Gent - Kluizendok (OV);2018;6;1
Harelbeke/Deerlijk - De Gavers (Provinciedomein) (WV);2018;9;2
IJzervallei;2018;4;1
IJzervallei;2018;6;1
IJzervallei;2018;7;1
IJzervallei;2019;4;3
IJzervallei;2019;5;2
IJzervallei;2019;6;2
Kieldrecht - Drijdyck (DRDY) (OV);2018;4;1
Nazareth - Callemoeie (OV);2018;8;1
Neerpelt - Het Hageven (LI);2018;9;1
Snaaskerke (Dg) (WV);2018;9;3
Verrebroek - Verrebroekse Blikken (VEBL) (OV);2018;4;1
